Date,Description,ISIN,Industry,Rating Type,Rating to,Outlook,Rating From,Outlook2,
27 September 2017,Sofina,BE0003717312,Specialty Finance,Corporate Rating,E,Stable,,,
27 September 2017,3i Group,GB00B1YW4409,Commercial Services,Corporate Rating,EE,Stable,,,
22 September 2017,SAP,DE0007164600,Software,Corporate Rating,EE+,Stable,EE,Stable,
22 September 2017,Lonza Group,CH0013841017,Biotech & Pharma,Corporate Rating,EE-,Stable,,,
21 September 2017,Acerinox,ES0132105018,Materials,Corporate Rating,E+,Stable,,,
21 September 2017,Viscofan,ES0184262212,Consumer Products,Corporate Rating,EE-,Stable,,,
20 September 2017,Endesa,ES0130670112,Utilities,Corporate Rating,E+,Stable,,,
26 July 2017,Chevron Corporation,US1667641005,Oil, Gas & Coal,Corporate Rating,EE-,Stable,,
20 July 2017,Abertis,ES0111845014,Transportation & Logistics,Corporate Rating,EE+,Stable,,,
20 July 2017,Caterpillar,US1491231015,Machinery,Corporate Rating,EE-,Stable,,,
19 July 2017,Telefonica,ES0178430E18,Telecom,Corporate Rating,EE-,Stable,,,
13 July 2017,Wal-Mart Stores,US9311421039,Consumer Products,Corporate Rating,E,Stable,,,
12 July 2017,3M,US88579Y1010,Consumer Products,Corporate Rating,EE,Stable,,,
10 July 2017,Telecom Italia,IT0003497168,Telecom,Corporate Rating,E,Stable,E+,Negative,
07 July 2017,UnipolSai,IT0004827447,Insurance,Corporate Rating,EE,Positive,EE,Stable,
06 July 2017,Vivendi,FR0000127771,Media,Corporate Rating,E+,Negative,E+,Stable,
05 July 2017,JPMorgan Chase,US46625H1005,Banking,Corporate Rating,EE-,Stable,,,
03 July 2017,FinecoBank,IT0000072170,Banking,Corporate Rating,EE,Stable,EE-,Stable,
29 June 2017,Mondi Group,GB00B1CRLC47,Consumer Products,Corporate Rating,EE+,Stable,,,
28 June 2017,IBM,US4592001014,Technology Services,Corporate Rating,EE+,Stable,,,
22 June 2017,CYBG Group,GB00BD6GN030,Banking,Corporate Rating,E+,Stable,,,
21 June 2017,Ferrovial,ES0118900010,Engineering & Construction Svcs,Corporate Rating,EE-,Stable,,,
15 June 2017,The Travelers,US89417E1091,Insurance,Corporate Rating,EE+,Stable,,,
14 June 2017,The Walt Disney,US2546871060,Media,Corporate Rating,EE,Stable,,,
08 June 2017,Gas Natural SDG,ES0116870314,Utilities,Corporate Rating,EE-,Stable,,,
07 June 2017,American Express,US0258161092,Commercial Services,Corporate Rating,EE-,Stable,,,
01 June 2017,Telecom Italia,IT0003497168,Telecom,Corporate Rating,E+,Negative,Suspended,,
31 May 2017,Delta Lloyd,NL0009294552,Insurance,Corporate Rating,Removed,,EE+,Stable,
31 May 2017,Iberdrola,ES0144580Y14,Utilities,Corporate Rating,EE,Stable,,,
19 May 2017,General Electric,US3696041033,Oil, Gas & Coal,Corporate Rating,EE-,Stable,,
19 May 2017,Banco de Sabadell,ES0113860A34,Banking,Corporate Rating,EE-,Stable,,,
17 May 2017,Grifols,ES0171996087,Biotech & Pharma,Corporate Rating,E,Stable,,,
11 May 2017,Adidas,DE000A1EWWW0,Apparel & Textile Products,Corporate Rating,EE,Warning,EE,Stable,
10 May 2017,Atos,FR0000051732,Technology Services,Corporate Rating,EE-,Stable,,,
04 May 2017,CRH,IE0001827041,Construction Materials,Corporate Rating,EE-,Stable,Pending,,
20 April 2017,Aperam,LU0569974404,Iron & Steel,Corporate Rating,E+,Stable,,,
19 April 2017,Societe Generale,FR0000130809,Banking,Corporate Rating,EE-,Stable,EE,Stable,
12 April 2017,Standard Chartered,GB0004082847,Banking,Corporate Rating,EE-,Stable,Pending,,
11 April 2017,ITV,GB0033986497,Media,Corporate Rating,EE,Stable,EE,Stable,
06 April 2017,Deutsche Telekom,DE0005557508,Telecom,Corporate Rating,EE-,Stable,EE-,Stable,
05 April 2017,Swisscom,CH0008742519,Telecom,Corporate Rating,E+,Stable,E+,Stable,
23 March 2017,Enel,IT0003128367,Utilities,Corporate Rating,EE+,Negative,EE+,Stable,
16 March 2017,BNP Paribas Fortis,BE0172505399,Banking,Corporate Rating,E,Stable,,,
09 March 2017,Crèdit Industriel et Commercial,FR0005025004,Banking,Corporate Rating,E,Stable,,,
09 March 2017,KBC Group,BE0003565737,Banking,Corporate Rating,E,Stable,,,
09 March 2017,DNB Group,NO0010031479,Banking,Corporate Rating,E,Stable,,,
08 March 2017,Banco Comercial Português,PTBCP0AM0007,Banking,Corporate Rating,E+,Stable,,,
02 March 2017,Italgas,IT0005211237,Utilities,Corporate Rating,E+,Stable,,,
28 February 2017,Natixis,FR0000120685,Banking,Corporate Rating,E+,Stable,,,
23 February 2017,Deutsche Pfandbriefbank,DE0008019001,Banking,Corporate Rating,EE-,Stable,,,
23 February 2017,Danske Bank,DK0010274414,Banking,Corporate Rating,EE,Stable,,,
15 February 2017,Raiffeisen Bank International,AT0000606306,Banking,Corporate Rating,E+,Stable,,,
09 February 2017,Bankia,ES0113307062,Banking,Corporate Rating,EE-,Stable,,,
09 February 2017,CaixaBank,ES0140609019,Banking,Corporate Rating,E+,Stable,,,
08 February 2017,Recordati,IT0003828271,Biotech & Pharma,Corporate Rating,E+,Stable,E+,Stable,
31 January 2017,British American Tobacco,GB0002875804,Consumer Products,Corporate Rating,E+,Stable,Pending,,
27 January 2017,Skandinaviska Enskilda Banken (SEB),SE0000148884,Banking,Corporate Rating,EE-,Stable,,,
27 January 2017,Swedbank,SE0000242455,Banking,Corporate Rating,EE,Stable,,,
27 January 2017,Svenska Handelsbanken,SE0007100599,Banking,Corporate Rating,EE,Stable,,,
25 January 2017,Bank of Ireland,IE00BD1RP616,Banking,Corporate Rating,E+,Stable,,,
25 January 2017,Allied Irish Banks,IE00BYSZ9G33,Banking,Corporate Rating,E+,Stable,,,
19 January 2017,Credit Suisse,CH0012138530,Banking,Corporate Rating,E+,Stable,EE-,Stable,
01 January 2017,Banco BPM,IT0005218380,Banking,Corporate Rating,EE-,Stable,,,
30 December 2016,Banco Popolare,IT0005002883,Banking,Corporate Rating,Removed because Delisted,,EE,Under monitoring,
30 December 2016,Banca Popolare Milano,IT0000064482,Banking,Corporate Rating,Removed because Delisted,,EE-,Stable,
22 December 2016,Banca MPS,IT0005218752,Banking,Corporate Rating,Suspended,,EE,Stable,
30 November 2016,Daimler,DE0007100000,Automotive,Corporate Rating,E+,Stable,E+,Stable,
24 November 2016,Brembo,IT0005252728,Automotive,Corporate Rating,EE-,Stable,,,
23 November 2016,Ahold Delhaize,NL0011794037,Retail,Corporate Rating,EE-,Stable,,,
17 November 2016,Poste Italiane,IT0003796171,Transportation & Logistics,Corporate Rating,EE-,Under monitoring,EE-,Stable,
16 November 2016,UBS Group,CH0244767585,Banking,Corporate Rating,E+,Stable,Suspended,,
27 October 2016,Bayer,DE000BAY0017,Biotech & Pharma,Corporate Rating,EE-,Stable,EE-,Stable,
26 October 2016,Mediobanca,IT0000062957,Banking,Corporate Rating,EE-,Stable,E+,Positive,
17 October 2016,Paddy Power Betfair,IE00BWT6H894,Gaming, Lodging & Restaurants,Corporate Rating,E,Stable,,
17 October 2016,Next,GB0032089863,Retail,Corporate Rating,EE-,Stable,,,
17 October 2016,Kingfisher,GB0033195214,Retail,Corporate Rating,EE+,Stable,,,
17 October 2016,ITV,GB0033986497,Media,Corporate Rating,EE,Stable,,,
17 October 2016,Fresnillo,GB00B2QPKJ12,Metals & Mining,Corporate Rating,E+,Stable,,,
17 October 2016,Old Mutual,GB00B77J0862,Insurance,Corporate Rating,EE-,Stable,,,
17 October 2016,London Stock Exchange Group,GB00B0SWJX34,Institutional Financial Svcs,Corporate Rating,EEE-,Stable,,,
17 October 2016,Land Securities Group,GB0031809436,Real Estate,Corporate Rating,EE+,Stable,,,
17 October 2016,Anglo American,GB00B1XZS820,Iron & Steel,Corporate Rating,E,Stable,,,
17 October 2016,Wolseley,JE00BFNWV485,Industrial Services,Corporate Rating,EE,Stable,,,
17 October 2016,International Consolidated Airlines Group,ES0177542018,Passenger Transportation,Corporate Rating,EE,Stable,,,
17 October 2016,Smith & Nephew,GB0009223206,Medical Equipment & Devices,Corporate Rating,EE,Stable,,,
17 October 2016,Centrica,GB00B033F229,Utilities,Corporate Rating,EE-,Stable,,,
17 October 2016,Rolls-Royce Holdings,GB00B63H8491,Aerospace & Defence,Corporate Rating,EE,Stable,,,
17 October 2016,Experian,GB00B19NLV48,Technology Services,Corporate Rating,EE+,Stable,,,
17 October 2016,Tesco,GB0008847096,Retail,Corporate Rating,EE,Stable,,,
17 October 2016,Legal & General Group,GB0005603997,Insurance,Corporate Rating,EE,Stable,,,
17 October 2016,RELX,GB00B2B0DG97,Technology Services,Corporate Rating,EE,Stable,,,
17 October 2016,Aviva,GB0002162385,Insurance,Corporate Rating,EE,Stable,,,
17 October 2016,BAE Systems,GB0002634946,Aerospace & Defence,Corporate Rating,EE,Stable,,,
17 October 2016,SSE,GB0007908733,Utilities,Corporate Rating,EE,Stable,,,
17 October 2016,Sky,GB0001411924,Media,Corporate Rating,EE-,Stable,,,
17 October 2016,CRH,IE0001827041,Construction Materials,Corporate Rating,Pending,,,,
17 October 2016,BHP Billiton,GB0000566504,Iron & Steel,Corporate Rating,E,Stable,,,
17 October 2016,Glencore,JE00B4T3BW64,Metals & Mining,Corporate Rating,E-,Stable,,,
17 October 2016,WPP,JE00B8KF9B49,Media,Corporate Rating,EE+,Stable,,,
17 October 2016,Compass Group,GB00BLNN3L44,Commercial Services,Corporate Rating,EE-,Stable,,,
17 October 2016,Associated British Foods,GB0006731235,Consumer Products,Corporate Rating,E,Stable,,,
17 October 2016,Rio Tinto,GB0007188757,Iron & Steel,Corporate Rating,E,Stable,,,
17 October 2016,Prudential,GB0007099541,Insurance,Corporate Rating,EE-,Stable,,,
17 October 2016,Imperial Brands,GB0004544929,Consumer Products,Corporate Rating,E+,Stable,,,
17 October 2016,National Grid,GB00B08SNH34,Utilities,Corporate Rating,E+,Stable,,,
17 October 2016,Shire,JE00B2QKY057,Biotech & Pharma,Corporate Rating,EE,Stable,,,
17 October 2016,Unilever,GB00B10RZP78,Consumer Products,Corporate Rating,EE-,Stable,,,
17 October 2016,BT Group,GB0030913577,Telecom,Corporate Rating,EE,Stable,,,
17 October 2016,Diageo,GB0002374006,Consumer Products,Corporate Rating,EE-,Stable,,,
17 October 2016,Reckitt Benckiser Group,GB00B24CGK77,Consumer Products,Corporate Rating,EE,Stable,,,
17 October 2016,AstraZeneca,GB0009895292,Biotech & Pharma,Corporate Rating,E+,Stable,,,
17 October 2016,Vodafone Group,GB00BH4HKS39,Telecom,Corporate Rating,EEE-,Stable,,,
17 October 2016,BP,GB0007980591,Oil, Gas & Coal,Corporate Rating,EE-,Stable,,
17 October 2016,GlaxoSmithKline,GB0009252882,Biotech & Pharma,Corporate Rating,E,Stable,,,
17 October 2016,British American Tobacco,GB0002875804,Consumer Products,Corporate Rating,Pending,,,,
17 October 2016,Royal Dutch Shell,GB00B03MLX29,Oil, Gas & Coal,Corporate Rating,EE-,Stable,,
17 October 2016,Standard Chartered,GB0004082847,Banking,Corporate Rating,Pending,,,,
27 July 2016,Banca Ifis,IT0003188064,Banking,Corporate Rating,E,Stable,,,
26 July 2016,Banca Carige,IT0005108763,Banking,Corporate Rating,E+,Stable,,,
21 July 2016,Banca Generali,IT0001031084,Banking,Corporate Rating,EE-,Stable,,,
20 July 2016,Klepierre,FR0000121964,Real Estate,Corporate Rating,E+,Stable,,,
19 July 2016,HSBC Holdings,GB0005405286,Banking,Corporate Rating,EE,Stable,,,
15 July 2016,UnipolSai,IT0004827447,Insurance,Corporate Rating,EE,Stable,EE-,Stable,
13 July 2016,Ontex Group,BE0974276082,Consumer Products,Corporate Rating,EE,Stable,,,
12 July 2016,Erste Group Bank,AT0000652011,Banking,Corporate Rating,E,Stable,,,
06 July 2016,National Bank of Greece,XS1063244682,Banking,Corporate Rating,E,Stable,,,
05 July 2016,Lloyds Banking Group,GB0008706128,Banking,Corporate Rating,E+,Stable,,,
29 June 2016,Galapagos,BE0003818359,Biotech & Pharma,Corporate Rating,E,Stable,,,
28 June 2016,Sodexo,FR000121220,Commercial Services,Corporate Rating,E,Stable,,,
23 June 2016,Credito Emiliano,IT0003121677,Banking,Corporate Rating,E-,Stable,,,
23 June 2016,Banca Intermobiliare,IT0000074077,Banking,Corporate Rating,E,Stable,,,
23 June 2016,Banco Desio Brianza,IT0001041000,Banking,Corporate Rating,E,Stable,E+,Stable,
23 June 2016,Credito Valtellinese,IT0005319444,Banking,Corporate Rating,EE-,Stable,,,
22 June 2016,ProSiebenSat.1,DE000PSM7770,Media,Corporate Rating,E,Stable,,,
14 June 2016,Nokia,FI0009000681,Hardware,Corporate Rating,EE,Stable,,,
09 June 2016,Swiss Life,CH0014852781,Insurance,Corporate Rating,EE,Stable,,,
31 May 2016,Azimut Holding,IT0003261697,Asset Management,Corporate Rating,E+,Stable,EE,Stable,
30 May 2016,Banca MPS,IT0005218752,Banking,Corporate Rating,EE,Stable,EE-,Stable,
26 May 2016,Nordea Bank,SE0000427361,Banking,Corporate Rating,EE+,Stable,,,
25 May 2016,Banca Profilo,IT0001073045,Banking,Corporate Rating,E+,Stable,,,
16 May 2016,Royal Bank of Scotland,GB00B7T77214,Banking,Corporate Rating,E-,Stable,,,
12 May 2016,Banca Finnat,IT0000088853,Banking,Corporate Rating,E,Stable,,,
12 May 2016,Banca Popolare Emilia Romagna,IT0000066123,Banking,Corporate Rating,EE-,Stable,EE,Under monitoring,
09 May 2016,ING Group,NL0011821202,Banking,Corporate Rating,E+,Positive,,,
28 April 2016,FinecoBank,IT0000072170,Banking,Corporate Rating,EE-,Stable,,,
28 April 2016,Banca Popolare di Sondrio,IT0000784196,Banking,Corporate Rating,EE-,Stable,,,
18 April 2016,BBVA,ES0113211835,Banking,Corporate Rating,EE,Stable,,,
14 April 2016,Peugeot,FR0000121501,Automotive,Corporate Rating,E+,Stable,,,
12 April 2016,Daimler,DE0007100000,Automotive,Corporate Rating,E+,Stable,Pending,,
11 April 2016,Banco Santander,ES0113900J37,Banking,Corporate Rating,E+,Stable,,,
08 April 2016,Deutsche Bank,DE0005140008,Banking,Corporate Rating,E-,Stable,Pending,,
31 March 2016,Prysmian,IT0004176001,Manufactured Goods,Corporate Rating,EE,Stable,EE,Positive,
22 March 2016,Telecom Italia,IT0003497168,Telecom,Corporate Rating,Suspended,,E+,Stable,
21 March 2016,Barclays Plc,GB0031348658,Banking,Corporate Rating,E,Stable,,,
18 March 2016,Poste Italiane,IT0003796171,Transportation & Logistics,Corporate Rating,EE-,Stable,,,
15 March 2016,Essilor Intl.,FR0000121667,Medical Equipment & Devices,Corporate Rating,EE,Positive,EE,Stable,
14 March 2016,Volkswagen,DE0007664005,Automotive,Corporate Rating,E-,Stable,Pending,,
10 March 2016,Luxottica,IT0001479374,Retail,Corporate Rating,E+,Stable,EE-,Stable,
08 March 2016,UBS Group,CH0244767585,Banking,Corporate Rating,Suspended,,EE-,Stable,
07 March 2016,Ferrari,NL0011585146,Automotive,Corporate Rating,E,Stable,,,
03 March 2016,UnipolSai,IT0004827447,Insurance,Corporate Rating,EE-,Stable,E+,Positive,
29 February 2016,Volkswagen,DE0007664005,Automotive,Corporate Rating,Pending,,,,
29 February 2016,Deutsche Bank,DE0005140008,Banking,Corporate Rating,Pending,,,,
29 February 2016,Daimler,DE0007100000,Automotive,Corporate Rating,Pending,,,,
29 February 2016,Henkel,DE0006048432,Consumer Products,Corporate Rating,E,Stable,,,
29 February 2016,HeidelbergCement,DE0006047004,Construction Materials,Corporate Rating,E,Stable,,,
29 February 2016,Beiersdorf,DE0005200000,Consumer Products,Corporate Rating,E,Stable,,,
29 February 2016,ThyssenKrupp,DE0007500001,Iron & Steel,Corporate Rating,E+,Stable,,,
29 February 2016,Fresenius SE & Co.,DE0005785604,Health Care Facilities & Svcs,Corporate Rating,E+,Stable,,,
29 February 2016,Fresenius Medical Care,DE0005785802,Health Care Facilities & Svcs,Corporate Rating,E+,Stable,,,
29 February 2016,Continental,DE0005439004,Automotive,Corporate Rating,E+,Stable,,,
29 February 2016,Commerzbank,DE000CBK1001,Banking,Corporate Rating,E+,Stable,,,
29 February 2016,Vonovia,DE000A1ML7J1,Real Estate,Corporate Rating,EE-,Stable,,,
29 February 2016,Siemens,DE0007236101,Electrical Equipment,Corporate Rating,EE-,Stable,,,
29 February 2016,K+S,DE000KSAG888,Chemicals,Corporate Rating,EE-,Stable,,,
29 February 2016,RWE,DE0007037129,Utilities,Corporate Rating,EE-,Stable,,,
29 February 2016,Merck,DE0006599905,Biotech & Pharma,Corporate Rating,EE-,Stable,,,
29 February 2016,Deutsche Telekom,DE0005557508,Telecom,Corporate Rating,EE-,Stable,,,
29 February 2016,Deutsche Boerse,DE0005810055,Institutional Financial Svcs,Corporate Rating,EE-,Stable,,,
29 February 2016,BMW,DE0005190003,Automotive,Corporate Rating,EE-,Stable,,,
29 February 2016,Bayer,DE000BAY0017,Biotech & Pharma,Corporate Rating,EE-,Stable,,,
29 February 2016,SAP,DE0007164600,Software,Corporate Rating,EE,Stable,,,
29 February 2016,Munich Re,DE0008430026,Insurance,Corporate Rating,EE,Stable,,,
29 February 2016,Linde,DE0006483001,Chemicals,Corporate Rating,EE,Stable,,,
29 February 2016,Infineon Technologies,DE0006231004,Semiconductors,Corporate Rating,EE,Stable,,,
29 February 2016,E.ON,DE000ENAG999,Utilities,Corporate Rating,EE,Stable,,,
29 February 2016,Deutsche Lufthansa,DE0008232125,Passenger Transportation,Corporate Rating,EE,Stable,,,
29 February 2016,Deutsche Post,DE0005552004,Transportation & Logistics,Corporate Rating,EE,Stable,,,
29 February 2016,BASF,DE000BASF111,Chemicals,Corporate Rating,EE,Stable,,,
29 February 2016,Adidas,DE000A1EWWW0,Apparel & Textile Products,Corporate Rating,EE,Stable,,,
29 February 2016,Allianz,DE0008404005,Insurance,Corporate Rating,EE,Stable,,,
25 February 2016,Campari,IT0005252207,Consumer Products,Corporate Rating,E+,Stable,EE-,Under monitoring,
01 February 2016,Pirelli & C.,IT0004623051,Automotive,Corporate Rating,Removed because Delisted,,,,
25 January 2016,Intesa San Paolo,IT0000072618,Banking,Corporate Rating,EE,Stable,EE-,Positive,
18 December 2015,Vivendi,FR0000127771,Media,Corporate Rating,E+,Stable,EE-,Stable,
18 December 2015,Telecom Italia,IT0003497168,Telecom,Corporate Rating,E+,Stable,EE-,Stable,
19 October 2015,Saipem,IT0005252140,Oil, Gas & Coal,Corporate Rating,EE-,Stable,EE,Negative
02 October 2015,Banca MPS,IT0005218752,Banking,Corporate Rating,EE-,Stable,E+,Stable,
30 September 2015,Unipol Gruppo Finanziario,IT0004810054,Insurance,Corporate Rating,EE,Stable,EE-,Stable,
18 September 2015,LafargeHolcim,CH0012214059,Construction Materials,Corporate Rating,E+,Stable,,,
31 July 2015,Ansaldo STS,IT0003977540,Transportation Equipment,Corporate Rating,E+,Stable,,,
24 July 2015,Telecom Italia,IT0003497168,Telecom,Corporate Rating,EE-,Stable,EE-,Under monitoring,
24 July 2015,Luxottica,IT0001479374,Retail,Corporate Rating,EE-,Stable,EE-,Under monitoring,
15 July 2015,UnipolSai,IT0004827447,Insurance,Corporate Rating,E+,Positive,E,Stable,
01 July 2015,Umicore,BE0003884047,Chemicals,Corporate Rating,EE+,Stable,,,
01 July 2015,UCB,BE0003739530,Biotech & Pharma,Corporate Rating,E+,Stable,,,
01 July 2015,Telenet Group,BE0003826436,Media,Corporate Rating,E,Stable,,,
01 July 2015,KBC Group,BE0003565737,Banking,Corporate Rating,E+,Stable,,,
01 July 2015,Groupe Bruxelles Lambert,BE0003797140,Asset Management,Corporate Rating,E,Stable,,,
01 July 2015,Elia Group,BE0003822393,Utilities,Corporate Rating,EE,Stable,,,
01 July 2015,Delta Lloyd,NL0009294552,Insurance,Corporate Rating,EE+,Stable,,,
01 July 2015,Delhaize Group,BE0003562700,Retail,Corporate Rating,PENDING,,,,
01 July 2015,D'Ieteren,BE0974259880,Retail,Corporate Rating,E,Stable,,,
01 July 2015,Colruyt,BE0974256852,Retail,Corporate Rating,E,Stable,,,
01 July 2015,Cofinimmo,BE0003593044,Real Estate,Corporate Rating,EE+,Stable,,,
01 July 2015,Bpost,BE0974268972,Transportation & Logistics,Corporate Rating,EE,Stable,,,
01 July 2015,Proximus,BE0003810273,Telecom,Corporate Rating,EE+,Stable,,,
01 July 2015,Bekaert,BE0974258874,Manufactured Goods,Corporate Rating,EE,Stable,,,
01 July 2015,Befimmo,BE0003678894,Real Estate,Corporate Rating,EE-,Stable,,,
01 July 2015,Ageas,BE0974264930,Insurance,Corporate Rating,E,Stable,,,
01 July 2015,Ackermans & van Haaren,BE0003764785,Specialty Finance,Corporate Rating,E+,Stable,,,
01 July 2015,AB Inbev,BE0974293251,Consumer Products,Corporate Rating,E,Stable,,,
29 June 2015,Pirelli & C.,IT0004623051,Automotive,Corporate Rating,EE,Stable,EE-,Stable,
26 June 2015,Zurich Insurance Group,CH0011075394,Insurance,Corporate Rating,EE,Stable,,,
26 June 2015,Vivendi,FR0000127771,Media,Corporate Rating,EE-,Stable,,,
26 June 2015,VINCI,FR0000125486,Engineering & Construction Svcs,Corporate Rating,EE-,Stable,,,
26 June 2015,Veolia Environnement,FR0000124141,Utilities,Corporate Rating,EE,Stable,,,
26 June 2015,Valeo,FR0000130338,Automotive,Corporate Rating,EE,Stable,,,
26 June 2015,Unibail-Rodamco,FR0000124711,Real Estate,Corporate Rating,EEE-,Stable,,,
26 June 2015,UBS Group,CH0244767585,Banking,Corporate Rating,EE-,Stable,,,
26 June 2015,Transocean,CH0048265513,Oil, Gas & Coal,Corporate Rating,E-,Stable,,
26 June 2015,Total,FR0000120271,Oil, Gas & Coal,Corporate Rating,EE-,Stable,,
26 June 2015,TechnipFMC,GB00BDSFG982,Oil, Gas & Coal,Corporate Rating,EE,Stable,,
26 June 2015,Syngenta,CH0011037469,Chemicals,Corporate Rating,EE-,Stable,,,
26 June 2015,Swisscom,CH0008742519,Telecom,Corporate Rating,E+,Stable,,,
26 June 2015,Swiss Re,CH0126881561,Insurance,Corporate Rating,EEE-,Stable,,,
26 June 2015,Swatch,CH0012255151,Apparel & Textile Products,Corporate Rating,E,Stable,,,
26 June 2015,Solvay,BE0003470755,Chemicals,Corporate Rating,E+,Stable,,,
26 June 2015,Societe Generale,FR0000130809,Banking,Corporate Rating,EE,Stable,,,
26 June 2015,SGS,CH0002497458,Commercial Services,Corporate Rating,E+,Stable,,,
26 June 2015,Schneider Electric,FR0000121972,Electrical Equipment,Corporate Rating,EE,Stable,,,
26 June 2015,Sanofi,FR0000120578,Biotech & Pharma,Corporate Rating,EE+,Stable,,,
26 June 2015,Saint Gobain,FR0000125007,Construction Materials,Corporate Rating,EE,Stable,,,
26 June 2015,Safran,FR0000073272,Aerospace & Defence,Corporate Rating,E+,Stable,,,
26 June 2015,Roche Holding,CH0012032048,Biotech & Pharma,Corporate Rating,E,Stable,,,
26 June 2015,Richemont,CH0210483332,Apparel & Textile Products,Corporate Rating,E,Stable,,,
26 June 2015,Renault,FR0000131906,Automotive,Corporate Rating,E+,Stable,,,
26 June 2015,Publicis Groupe,FR0000130577,Media,Corporate Rating,EE-,Stable,,,
26 June 2015,Pernod Ricard,FR0000120693,Consumer Products,Corporate Rating,E+,Stable,,,
26 June 2015,Orange,FR0000133308,Telecom,Corporate Rating,E-,Stable,,,
26 June 2015,Novartis,CH0012005267,Biotech & Pharma,Corporate Rating,EE-,Stable,,,
26 June 2015,Nestlé,CH0038863350,Consumer Products,Corporate Rating,EE-,Stable,,,
26 June 2015,Michelin,FR0000121261,Automotive,Corporate Rating,EE,Stable,,,
26 June 2015,LVMH,FR0000121014,Apparel & Textile Products,Corporate Rating,E,Stable,,,
26 June 2015,Legrand,FR0010307819,Electrical Equipment,Corporate Rating,EE-,Stable,,,
26 June 2015,Lafarge,FR0000120537,Construction Materials,Corporate Rating,E+,Stable,,,
26 June 2015,L'Oreal,FR0000120321,Consumer Products,Corporate Rating,E,Stable,,,
26 June 2015,Kering,FR0000121485,Apparel & Textile Products,Corporate Rating,E,Stable,,,
26 June 2015,Julius Baer Gruppe,CH0102484968,Asset Management,Corporate Rating,EE-,Stable,,,
26 June 2015,Holcim,CH0012214059,Construction Materials,Corporate Rating,EE-,Stable,,,
26 June 2015,Givaudan,CH0010645932,Chemicals,Corporate Rating,EE-,Stable,,,
26 June 2015,Gemalto,NL0000400653,Software,Corporate Rating,EE,Stable,,,
26 June 2015,Geberit,CH0030170408,Home & Office Products,Corporate Rating,EE+,Stable,,,
26 June 2015,Engie,FR0010208488,Utilities,Corporate Rating,E+,Stable,,,
26 June 2015,Essilor Intl.,FR0000121667,Medical Equipment & Devices,Corporate Rating,EE,Stable,,,
26 June 2015,Electricité De France (EDF),FR0010242511,Utilities,Corporate Rating,E+,Stable,,,
26 June 2015,Danone,FR0000120644,Consumer Products,Corporate Rating,EE,Stable,,,
26 June 2015,Credit Suisse,CH0012138530,Banking,Corporate Rating,EE-,Stable,,,
26 June 2015,Credit Agricole,FR0000045072,Banking,Corporate Rating,E,Stable,,,
26 June 2015,Carrefour,FR0000120172,Retail,Corporate Rating,EE-,Stable,,,
26 June 2015,Cap Gemini,FR0000125338,Technology Services,Corporate Rating,EEE-,Stable,,,
26 June 2015,Bouygues,FR0000120503,Engineering & Construction Svcs,Corporate Rating,EE-,Stable,,,
26 June 2015,BNP Paribas,FR0000131104,Banking,Corporate Rating,EE+,Stable,,,
26 June 2015,AXA,FR0000120628,Insurance,Corporate Rating,EE,Stable,,,
26 June 2015,ArcelorMittal,LU1598757687,Iron & Steel,Corporate Rating,E+,Stable,,,
26 June 2015,Alstom,FR0010220475,Transportation Equipment,Corporate Rating,E+,Stable,,,
26 June 2015,Alcatel-Lucent,FR0000130007,Hardware,Corporate Rating,EE,Stable,,,
26 June 2015,Airbus Group,NL0000235190,Aerospace & Defence,Corporate Rating,EE-,Stable,,,
26 June 2015,Air Liquide,FR0000120073,Chemicals,Corporate Rating,EE+,Stable,,,
26 June 2015,Adecco Group,CH0012138605,Commercial Services,Corporate Rating,EEE-,Stable,,,
26 June 2015,Actelion,CH0010532478,Biotech & Pharma,Corporate Rating,E+,Stable,,,
26 June 2015,Accor,FR0000120404,Gaming, Lodging & Restaurants,Corporate Rating,EE-,Stable,,
26 June 2015,ABB,CH0012221716,Electrical Equipment,Corporate Rating,EE+,Stable,,,
06 April 2015,Gtech,IT0003990402,Gaming, Lodging & Restaurants,Corporate Rating,Removed,,,
02 April 2015,Mediobanca,IT0000062957,Banking,Corporate Rating,E+,Positive,,,
12 March 2015,Moncler,IT0004965148,Retail,Corporate Rating,E,Stable,Pending,,
16 January 2015,Campari,IT0005252207,Consumer Products,Corporate Rating,EE-,Under monitoring,EE-,Stable,
30 October 2014,Pirelli & C.,IT0004623051,Automotive,Corporate Rating,EE-,Stable,E+,Positive,
30 October 2014,Banca MPS,IT0005218752,Banking,Corporate Rating,E+,Stable,EE-,Under monitoring,
05 September 2014,Luxottica,IT0001479374,Retail,Corporate Rating,EE-,Under monitoring,EE-,Stable,
03 July 2014,Yoox,IT0003540470,Retail,Corporate Rating,EE-,Stable,,,
03 July 2014,World Duty Free,IT0004954662,Retail,Corporate Rating,E+,Stable,,,
03 July 2014,UnipolSai,IT0004827447,Insurance,Corporate Rating,E,Stable,,,
03 July 2014,UniCredit,IT0005239360,Banking,Corporate Rating,EE+,Stable,,,
03 July 2014,UBI Banca,IT0003487029,Banking,Corporate Rating,EE,Stable,,,
03 July 2014,Tod's,IT0003007728,Apparel & Textile Products,Corporate Rating,E+,Stable,,,
03 July 2014,Terna,IT0003242622,Utilities,Corporate Rating,E,Stable,,,
